Name,Weight (g),,length (cm),,,,,,,,,,,,,,,,
190723_143_4,0.1225,,,,,,,,,,,,,,,,,,
190723_143_5,0.149,,,,,,,,,,,,,,,,,,
190723_133_1,0.0893,,,,,,,,,,,,,,,,,,
190723_133_2,0.0705,,,,,,,,,,,,,,,,,,
190723_133_3,0.0429,,,,,,,,,,,,,,,,,,
190723_133_4,0.0688,,,,,,,,,,,,,,,,,,
190723_133_5,0.0478,,,,,,,,,,,,,,,,,,
190723_134_1,0.0916,,,,,,,,,,,,,,,,,,
190723_134_2,0.1401,,,,,,,,,,,,,,,,,,
190723_134_3,0.1438,,,,,,,,,,,,,,,,,,
190723_134_4,0.0465,,,,,,,,,,,,,,,,,,
190723_134_5,0,,,,,,,,,,,,,,,,,,
190723_135_1,0.0853,,,,,,,,,,,,,,,,,,
190723_135_2,0.0616,,,,,,,,,,,,,,,,,,
190723_135_3,0.133,,,,,,,,,,,,,,,,,,
190723_135_4,0.0297,,,,,,,,,,,,,,,,,,
190723_135_5,0,,,,,,,,,,,,,,,,,,
190723_136_1,0.1048,,,,,,,,,,,,,,,,,,
190723_136_2,0.1146,,,,,,,,,,,,,,,,,,
190723_136_3,0.0469,,,,,,,,,,,,,,,,,,
190723_136_4,0.0902,,,,,,,,,,,,,,,,,,
190723_136_5,0.0194,,,,,,,,,,,,,,,,,,
190723_137_1,0.0911,,,,,,,,,,,,,,,,,,
190723_137_2,0.0843,,,,,,,,,,,,,,,,,,
190723_137_3,0.0976,,,,,,,,,,,,,,,,,,
190723_137_4,0.0245,,,,,,,,,,,,,,,,,,
190723_137_5,0,,,,,,,,,,,,,,,,,,
190723_138_1,0.0991,,,,,,,,,,,,,,,,,,
190723_138_2,0.0659,,,,,,,,,,,,,,,,,,
190723_138_3,0.1264,,,,,,,,,,,,,,,,,,
190723_138_4,0.0756,,,,,,,,,,,,,,,,,,
190723_138_5,0,,,,,,,,,,,,,,,,,,
190723_55_1,0.0587,,,,,,,,,,,,,,,,,,
190723_55_2,0.0692,,,,,,,,,,,,,,,,,,
190723_55_3,0.0901,,,,,,,,,,,,,,,,,,
190723_55_4,0.0245,,,,,,,,,,,,,,,,,,
190723_55_5,0.0271,,,,,,,,,,,,,,,,,,
190723_56_1,0.0502,,,,,,,,,,,,,,,,,,
190723_56_2,0.0446,,,,,,,,,,,,,,,,,,
190723_56_3,0.0512,,,,,,,,,,,,,,,,,,
190723_56_4,0,,,,,,,,,,,,,,,,,,
190723_56_5,0.0435,,,,,,,,,,,,,,,,,,
190723_57_1,0,,,,,,,,,,,,,,,,,,
190723_57_2,0.1085,,,,,,,,,,,,,,,,,,
190723_57_3,0,,,,,,,,,,,,,,,,,,
190723_57_4,0.0457,,,,,,,,,,,,,,,,,,
190723_57_5,0.0515,,,,,,,,,,,,,,,,,,
190723_58_1,0.0363,,,,,,,,,,,,,,,,,,
190723_58_2,0.0283,,,,,,,,,,,,,,,,,,
190723_58_3,0.082,,,,,,,,,,,,,,,,,,
190723_58_4,0,,,,,,,,,,,,,,,,,,
190723_58_5,0.0364,,,,,,,,,,,,,,,,,,
190723_59_1,0.0318,,,,,,,,,,,,,,,,,,
190723_59_2,0.0516,,,,,,,,,,,,,,,,,,
190723_59_3,0.065,,,,,,,,,,,,,,,,,,
190723_59_4,0,,,,,,,,,,,,,,,,,,
190723_59_5,0.0685,,,,,,,,,,,,,,,,,,
190723_60_1,0.1286,,,,,,,,,,,,,,,,,,
190723_60_2,0,,,,,,,,,,,,,,,,,,
190723_60_3,0.1097,,,,,,,,,,,,,,,,,,
190723_60_4,0.1299,,,,,,,,,,,,,,,,,,
190723_60_5,0,,,,,,,,,,,,,,,,,,
190723_50_1,0.0812,,,,,,,,,,,,,,,,,,
190723_50_2,0,,,,,,,,,,,,,,,,,,
190723_50_3,0.1065,,,,,,,,,,,,,,,,,,
190723_50_4,0.1653,,,,,,,,,,,,,,,,,,
190723_50_5,0,,,,,,,,,,,,,,,,,,
190723_49_1,0.0273,,,,,,,,,,,,,,,,,,
190723_49_2,0.0941,,,,,,,,,,,,,,,,,,
190723_49_3,0.0472,,,,,,,,,,,,,,,,,,
190723_49_4,0,,,,,,,,,,,,,,,,,,
190723_49_5,0.0458,,,,,,,,,,,,,,,,,,
190723_42_1,0.07,,,,,,,,,,,,,,,,,,
190723_42_2,0,,,,,,,,,,,,,,,,,,
190723_42_3,0,,,,,,,,,,,,,,,,,,
190723_42_4,0,,,,,,,,,,,,,,,,,,
190723_42_5,0.1095,,,,,,,,,,,,,,,,,,
190723_52_1,0.0645,,,,,,,,,,,,,,,,,,
190723_52_2,0,,,,,,,,,,,,,,,,,,
190723_52_3,0.0753,,,,,,,,,,,,,,,,,,
190723_52_4,0,,,,,,,,,,,,,,,,,,
190723_52_5,0.0722,,,,,,,,,,,,,,,,,,
190723_53_1,0.0432,,,,,,,,,,,,,,,,,,
190723_53_2,0,,,,,,,,,,,,,,,,,,
190723_53_3,0.0779,,,,,,,,,,,,,,,,,,
190723_53_4,0.0508,,,,,,,,,,,,,,,,,,
190723_53_5,0.058,,,,,,,,,,,,,,,,,,
190723_54_1,0.068,,,,,,,,,,,,,,,,,,
190723_54_2,0.1105,,,,,,,,,,,,,,,,,,
190723_54_3,0,,,,,,,,,,,,,,,,,,
190723_54_4,0.0727,,,,,,,,,,,,,,,,,,
190723_54_5,0.1062,,,,,,,,,,,,,,,,,,
270723_33_1,0.0433,,,,,,,,,,,,,,,,,,
270723_33_2,0,,,,,,,,,,,,,,,,,,
270723_33_3,0.1252,,,,,,,,,,,,,,,,,,
270723_33_4,0,,,,,,,,,,,,,,,,,,
270723_33_5,0.0791,,1.7*0.8,0.7*0.6,0.9*0.4,,0.9*0.8,,0.5*0.5,1.8*0.9,1*0.9,1.1*0.5,1*0.5,,,,,,
270723_34_1,0.0154,,,,,,,,,,,,,,,,,,
270723_34_2,0.0438,,,,,,,,,,,,,,,,,,
270723_34_3,0.0288,,,,,,,,,,,,,,,,,,
270723_34_4,0.0204,,,,,,,,,,,,,,,,,,
270723_34_5,0,,,,,,,,,,,,,,,,,,
270723_25_1,0.0335,,,,,,,,,,,,,,,,,,
270723_25_2,0.1268,,,,,,,,,,,,,,,,,,
270723_25_3,0.0998,,,,,,,,,,,,,,,,,,
270723_25_4,0.0625,,,,,,,,,,,,,,,,,,
270723_25_5,0,,,,,,,,,,,,,,,,,,
270723_26_1,0.0572,,,,,,,,,,,,,,,,,,
270723_26_2,0,,,,,,,,,,,,,,,,,,
270723_26_3,0.1429,,,,,,,,,,,,,,,,,,
270723_26_4,0,,,,,,,,,,,,,,,,,,
270723_26_5,0.1401,,,,,,,,,,,,,,,,,,
270723_41_1,0.0678,,,,,,,,,,,,,,,,,,
270723_41_2,0,,,,,,,,,,,,,,,,,,
270723_41_3,0,,,,,,,,,,,,,,,,,,
270723_41_4,0.1863,,,,,,,,,,,,,,,,,,
270723_41_5,0.0636,,,,,,,,,,,,,,,,,,
270723_28_1,0.1466,,,,,,,,,,,,,,,,,,
270723_28_2,0,,,,,,,,,,,,,,,,,,
270723_28_3,0,,,,,,,,,,,,,,,,,,
270723_28_4,0,,,,,,,,,,,,,,,,,,
270723_28_5,0.1054,,,,,,,,,,,,,,,,,,
270723_29_1,0,,,,,,,,,,,,,,,,,,
270723_29_2,0,,,,,,,,,,,,,,,,,,
270723_29_3,0.0323,,,,,,,,,,,,,,,,,,
270723_29_4,0.0771,,,,,,,,,,,,,,,,,,
270723_29_5,0.0486,,,,,,,,,,,,,,,,,,
270723_30_1,0.108,,,,,,,,,,,,,,,,,,
270723_30_2,0,,,,,,,,,,,,,,,,,,
270723_30_3,0,,,,,,,,,,,,,,,,,,
270723_30_4,0.1119,,,,,,,,,,,,,,,,,,
270723_30_5,0,,,,,,,,,,,,,,,,,,
270723_31_1,0,,,,,,,,,,,,,,,,,,
270723_31_2,0.1849,,,,,,,,,,,,,,,,,,
270723_31_3,0.0152,,,,,,,,,,,,,,,,,,
270723_31_4,0.1295,,,,,,,,,,,,,,,,,,
270723_31_5,0,,,,,,,,,,,,,,,,,,
270723_32_1,0,,,,,,,,,,,,,,,,,,
270723_32_2,0,,,,,,,,,,,,,,,,,,
270723_32_3,0.1104,,,,,,,,,,,,,,,,,,
270723_32_4,0.1432,,,,,,,,,,,,,,,,,,
270723_32_5,0.0775,,,,,,,,,,,,,,,,,,
270723_35_1,0.0451,,,,,,,,,,,,,,,,,,
270723_35_2,0,,,,,,,,,,,,,,,,,,
270723_35_3,0.0921,,,,,,,,,,,,,,,,,,
270723_35_4,0,,,,,,,,,,,,,,,,,,
270723_35_5,0.0659,,,,,,,,,,,,,,,,,,
270723_36_1,0.091,,,,,,,,,,,,,,,,,,
270723_36_2,0,,,,,,,,,,,,,,,,,,
270723_36_3,0,,,,,,,,,,,,,,,,,,
270723_36_4,0,,,,,,,,,,,,,,,,,,
270723_36_5,0.0359,,,,,,,,,,,,,,,,,,
270723_13_1,0,,,,,,,,,,,,,,,,,,
270723_13_2,0,,,,,,,,,,,,,,,,,,
270723_13_3,0,,,,,,,,,,,,,,,,,,
270723_13_4,0.1083,,,,,,,,,,,,,,,,,,
270723_13_5,0.0445,,,,,,,,,,,,,,,,,,
270723_14_1,0.0812,,,,,,,,,,,,,,,,,,
270723_14_2,0.0814,,,,,,,,,,,,,,,,,,
270723_14_3,0.0654,,,,,,,,,,,,,,,,,,
270723_14_4,0.0506,,,,,,,,,,,,,,,,,,
270723_14_5,0.1085,,,,,,,,,,,,,,,,,,
270723_15_1,0.1222,,,,,,,,,,,,,,,,,,
270723_15_2,0.0941,,,,,,,,,,,,,,,,,,
270723_15_3,0,,,,,,,,,,,,,,,,,,
270723_15_4,0.0376,,,,,,,,,,,,,,,,,,
270723_15_5,0.1046,,,,,,,,,,,,,,,,,,
270723_16_1,0.066,,,,,,,,,,,,,,,,,,
270723_16_2,0,,,,,,,,,,,,,,,,,,
270723_16_3,0,,,,,,,,,,,,,,,,,,
270723_16_4,0,,,,,,,,,,,,,,,,,,
270723_16_5,0.0945,,,,,,,,,,,,,,,,,,
270723_37_1,0.0476,,,,,,,,,,,,,,,,,,
270723_37_2,0,,,,,,,,,,,,,,,,,,
270723_37_3,0.0291,,,,,,,,,,,,,,,,,,
270723_37_4,0,,,,,,,,,,,,,,,,,,
270723_37_5,0.0158,,,,,,,,,,,,,,,,,,
270723_18_1,0,,,,,,,,,,,,,,,,,,
270723_18_2,0.1138,,,,,,,,,,,,,,,,,,
270723_18_3,0.1531,,,,,,,,,,,,,,,,,,
270723_18_4,0.126,,,,,,,,,,,,,,,,,,
270723_18_5,0,,,,,,,,,,,,,,,,,,
270723_19_1,0,,,,,,,,,,,,,,,,,,
270723_19_2,0.1394,,,,,,,,,,,,,,,,,,
270723_19_3,0,,,,,,,,,,,,,,,,,,
270723_19_4,0,,,,,,,,,,,,,,,,,,
270723_19_5,0.10717,,,,,,,,,,,,,,,,,,
270723_6_1,0.1217,,,,,,,,,,,,,,,,,,
270723_6_2,0.0832,,,,,,,,,,,,,,,,,,
270723_6_3,0.0948,,,,,,,,,,,,,,,,,,
270723_6_4,0.1397,,,,,,,,,,,,,,,,,,
270723_6_5,0,,,,,,,,,,,,,,,,,,
270723_21_1,0.0349,,,,,,,,,,,,,,,,,,
270723_21_2,0.1432,,,,,,,,,,,,,,,,,,
270723_21_3,0.1216,,,,,,,,,,,,,,,,,,
270723_21_4,0.1129,,,,,,,,,,,,,,,,,,
270723_21_5,0,,,,,,,,,,,,,,,,,,
270723_22_1,0,,,,,,,,,,,,,,,,,,
270723_22_2,0.101,,,,,,,,,,,,,,,,,,
270723_22_3,0.0944,,,,,,,,,,,,,,,,,,
270723_22_4,0,,,,,,,,,,,,,,,,,,
270723_22_5,0.0928,,,,,,,,,,,,,,,,,,
270723_23_1,0.1399,,,,,,,,,,,,,,,,,,
270723_23_2,0.088,,,,,,,,,,,,,,,,,,
270723_23_3,0.0821,,,,,,,,,,,,,,,,,,
270723_23_4,0.0465,,,,,,,,,,,,,,,,,,
270723_23_5,0.0798,,,,,,,,,,,,,,,,,,
270723_24_1,0,,,,,,,,,,,,,,,,,,
270723_24_2,0.0713,,,,,,,,,,,,,,,,,,
270723_24_3,0.0653,,,,,,,,,,,,,,,,,,
270723_24_4,0.1242,,,,,,,,,,,,,,,,,,
270723_24_5,0,,,,,,,,,,,,,,,,,,
310723_101_1,0,,,,,,,,,,,,,,,,,,
310723_101_2,0.125,,,,,,,,,,,,,,,,,,
310723_101_3,0,,,,,,,,,,,,,,,,,,
310723_101_4,0.0663,,,,,,,,,,,,,,,,,,
310723_101_5,0,,,,,,,,,,,,,,,,,,
310723_102_1,0.1813,,,,,,,,,,,,,,,,,,
310723_102_2,0.2051,,,,,,,,,,,,,,,,,,
310723_102_3,0,,,,,,,,,,,,,,,,,,
310723_102_4,0.2202,,,,,,,,,,,,,,,,,,
310723_102_5,0,,,,,,,,,,,,,,,,,,
310723_99_1,0.15758,,,,,,,,,,,,,,,,,,
310723_99_2,0.1434,,,,,,,,,,,,,,,,,,
310723_99_3,0,,,,,,,,,,,,,,,,,,
310723_99_4,0.2125,,,,,,,,,,,,,,,,,,
310723_99_5,0,,,,,,,,,,,,,,,,,,
310723_100_1,0.1125,,,,,,,,,,,,,,,,,,
310723_100_2,0,,,,,,,,,,,,,,,,,,
310723_100_3,0,,,,,,,,,,,,,,,,,,
310723_100_4,0.1652,,,,,,,,,,,,,,,,,,
310723_100_5,0,,,,,,,,,,,,,,,,,,
310723_97_1,0.0931,,,,,,,,,,,,,,,,,,
310723_97_2,0,,,,,,,,,,,,,,,,,,
310723_97_3,0,,,,,,,,,,,,,,,,,,
310723_97_4,0.24,,,,,,,,,,,,,,,,,,
310723_97_5,0,,,,,,,,,,,,,,,,,,
310723_98_1,0,,,,,,,,,,,,,,,,,,
310723_98_2,0.1867,,,,,,,,,,,,,,,,,,
310723_98_3,0,,,,,,,,,,,,,,,,,,
310723_98_4,0.1253,,,,,,,,,,,,,,,,,,
310723_98_5,0,,,,,,,,,,,,,,,,,,
310723_107_1,0.0875,,,,,,,,,,,,,,,,,,
310723_107_2,0,,,,,,,,,,,,,,,,,,
310723_107_3,0.0645,,,,,,,,,,,,,,,,,,
310723_107_4,0,,,,,,,,,,,,,,,,,,
310723_107_5,0,,,,,,,,,,,,,,,,,,
310723_109_1,0.1152,,,,,,,,,,,,,,,,,,
310723_109_2,0.1515,,,,,,,,,,,,,,,,,,
310723_109_3,0,,,,,,,,,,,,,,,,,,
310723_109_4,0.1876,,,,,,,,,,,,,,,,,,
310723_109_5,0,,,,,,,,,,,,,,,,,,
310723_124_1,0,,,,,,,,,,,,,,,,,,
310723_124_2,0.0806,,,,,,,,,,,,,,,,,,
310723_124_3,0,,,,,,,,,,,,,,,,,,
310723_124_4,0.128,,,,,,,,,,,,,,,,,,
310723_124_5,0,,,,,,,,,,,,,,,,,,
310723_104_1,0,,,,,,,,,,,,,,,,,,
310723_104_2,0.0611,,,,,,,,,,,,,,,,,,
310723_104_4,0.42271,,,,,,,,,,,,,,,,,,
310723_104_4,0,,,,,,,,,,,,,,,,,,
310723_104_5,0,,,,,,,,,,,,,,,,,,
310723_103_1,0.0441,,,,,,,,,,,,,,,,,,
310723_103_2,0.3,,,,,,,,,,,,,,,,,,
310723_103_3,0,,,,,,,,,,,,,,,,,,
310723_103_4,0.0539,,,,,,,,,,,,,,,,,,
310723_103_5,0.0497,,,,,,,,,,,,,,,,,,
310723_94_1,0,,,,,,,,,,,,,,,,,,
310723_94_2,0.096,,,,,,,,,,,,,,,,,,
310723_94_3,0,,,,,,,,,,,,,,,,,,
310723_94_4,0.0805,,,,,,,,,,,,,,,,,,
310723_94_5,0,,,,,,,,,,,,,,,,,,
310723_92_1,0.1529,,,,,,,,,,,,,,,,,,
310723_92_2,0.109,,,,,,,,,,,,,,,,,,
310723_92_3,0,,,,,,,,,,,,,,,,,,
310723_92_4,0.0965,,,,,,,,,,,,,,,,,,
310723_92_5,0.1189,,,,,,,,,,,,,,,,,,
310723_93_1,0.2111,,,,,,,,,,,,,,,,,,
310723_93_2,0,,,,,,,,,,,,,,,,,,
310723_93_3,0.0862,,,,,,,,,,,,,,,,,,
310723_93_4,0,,,,,,,,,,,,,,,,,,
310723_93_5,0,,,,,,,,,,,,,,,,,,
310723_90_1,0,,,,,,,,,,,,,,,,,,
310723_90_2,0.1291,,,,,,,,,,,,,,,,,,
310723_90_3,0,,,,,,,,,,,,,,,,,,
310723_90_4,0,,,,,,,,,,,,,,,,,,
310723_90_5,0,,,,,,,,,,,,,,,,,,
310723_89_1,0,,,,,,,,,,,,,,,,,,
310723_89_2,0,,,,,,,,,,,,,,,,,,
310723_89_3,0,,,,,,,,,,,,,,,,,,
310723_89_4,0,,,,,,,,,,,,,,,,,,
310723_89_5,0.2412,,,,,,,,,,,,,,,,,,
310723_85_1,0,,,,,,,,,,,,,,,,,,
310723_85_2,0,,,,,,,,,,,,,,,,,,
310723_85_3,0,,,,,,,,,,,,,,,,,,
310723_85_4,0,,,,,,,,,,,,,,,,,,
310723_85_5,0.4357,,,,,,,,,,,,,,,,,,
310723_86_1,0,,,,,,,,,,,,,,,,,,
310723_86_2,0,,,,,,,,,,,,,,,,,,
310723_86_3,0,,,,,,,,,,,,,,,,,,
310723_86_4,0,,,,,,,,,,,,,,,,,,
310723_86_5,0.2108,,,,,,,,,,,,,,,,,,
310723_87_1,0,,,,,,,,,,,,,,,,,,
310723_87_2,0,,,,,,,,,,,,,,,,,,
310723_87_3,0,,,,,,,,,,,,,,,,,,
310723_87_4,0,,,,,,,,,,,,,,,,,,
310723_87_5,0.3131,,,,,,,,,,,,,,,,,,
310723_88_1,0,,,,,,,,,,,,,,,,,,
310723_88_2,0,,,,,,,,,,,,,,,,,,
310723_88_3,0,,,,,,,,,,,,,,,,,,
310723_88_4,0,,,,,,,,,,,,,,,,,,
310723_88_5,0.0642,,1*.7,1*.4,1.2*.6,1*.6,1.1*.5,.7*.4,1.4*.6,,,,,,,,,,
310723_12_1,0,,,,,,,,,,,,,,,,,,
310723_12_2,0.108,,,,,,,,,,,,,,,,,,
310723_12_3,0,,,,,,,,,,,,,,,,,,
310723_12_4,0,,,,,,,,,,,,,,,,,,
310723_12_5,0,,,,,,,,,,,,,,,,,,
310723_05_1,0,,,,,,,,,,,,,,,,,,
310723_05_2,0.1858,,,,,,,,,,,,,,,,,,
310723_05_3,0,,,,,,,,,,,,,,,,,,
310723_05_4,0.14895,,,,,,,,,,,,,,,,,,
310723_05_5,0,,,,,,,,,,,,,,,,,,
310723_09_1,0,,,,,,,,,,,,,,,,,,
310723_09_2,0,,,,,,,,,,,,,,,,,,
310723_09_3,0.029,,,,,,,,,,,,,,,,,,
310723_09_4,0.1065,,,,,,,,,,,,,,,,,,
310723_09_5,0.0608,,,,,,,,,,,,,,,,,,
310723_03_1,0,,,,,,,,,,,,,,,,,,
310723_03_2,0.1085,,,,,,,,,,,,,,,,,,
310723_03_3,0,,,,,,,,,,,,,,,,,,
310723_03_4,0.1425,,,,,,,,,,,,,,,,,,
310723_03_5,0,,,,,,,,,,,,,,,,,,
310723_04_1,0,,,,,,,,,,,,,,,,,,
310723_04_2,0.1423,,,,,,,,,,,,,,,,,,
310723_04_3,0,,,,,,,,,,,,,,,,,,
310723_04_4,0.1153,,,,,,,,,,,,,,,,,,
310723_04_5,0,,,,,,,,,,,,,,,,,,
310723_01_1,0.0597,,,,,,,,,,,,,,,,,,
310723_01_2,0.0419,,,,,,,,,,,,,,,,,,
310723_01_3,0.07,,,,,,,,,,,,,,,,,,
310723_01_4,0,,,,,,,,,,,,,,,,,,
310723_01_5,0,,,,,,,,,,,,,,,,,,
310723_07_1,0.1988,,,,,,,,,,,,,,,,,,
310723_07_2,0,,,,,,,,,,,,,,,,,,
310723_07_3,0,,,,,,,,,,,,,,,,,,
310723_07_4,0.0662,,,,,,,,,,,,,,,,,,
310723_07_5,0,,,,,,,,,,,,,,,,,,
040823_113_1,0.1198,,,,,,,,,,,,,,,,,,
040823_113_2,0,,,,,,,,,,,,,,,,,,
040823_113_3,0.106,,,,,,,,,,,,,,,,,,
040823_113_4,0.117,,,,,,,,,,,,,,,,,,
040823_113_5,0,,,,,,,,,,,,,,,,,,
040823_117_1,0,,,,,,,,,,,,,,,,,,
040823_117_2,0,,,,,,,,,,,,,,,,,,
040823_117_3,0,,,,,,,,,,,,,,,,,,
040823_117_4,0,,,,,,,,,,,,,,,,,,
040823_117_5,0.1964,,,,,,,,,,,,,,,,,,
040823_116_1,0.1312,,,,,,,,,,,,,,,,,,
040823_116_2,0,,,,,,,,,,,,,,,,,,
040823_116_3,0,,,,,,,,,,,,,,,,,,
040823_116_4,0,,,,,,,,,,,,,,,,,,
040823_116_5,0,,,,,,,,,,,,,,,,,,
040823_110_1,0,,,,,,,,,,,,,,,,,,
040823_110_2,0,,,,,,,,,,,,,,,,,,
040823_110_3,0,,,,,,,,,,,,,,,,,,
040823_110_4,0,,,,,,,,,,,,,,,,,,
040823_110_5,0.1243,,,,,,,,,,,,,,,,,,
040823_114_1,0,,,,,,,,,,,,,,,,,,
040823_114_2,0,,,,,,,,,,,,,,,,,,
040823_114_3,0,,,,,,,,,,,,,,,,,,
040823_114_4,0,,,,,,,,,,,,,,,,,,
040823_114_5,0.1097,,,,,,,,,,,,,,,,,,
040823_115_1,0,,,,,,,,,,,,,,,,,,
040823_115_2,0.792,,,,,,,,,,,,,,,,,,
040823_115_3,0,,,,,,,,,,,,,,,,,,
040823_115_4,0,,,,,,,,,,,,,,,,,,
040823_115_5,0,,,,,,,,,,,,,,,,,,
040823_122_1,0,,,,,,,,,,,,,,,,,,
040823_122_2,0,,,,,,,,,,,,,,,,,,
040823_122_3,0.1078,,,,,,,,,,,,,,,,,,
040823_122_4,0,,,,,,,,,,,,,,,,,,
040823_122_5,0,,,,,,,,,,,,,,,,,,
040823_120_1,0,,,,,,,,,,,,,,,,,,
040823_120_2,0,,,,,,,,,,,,,,,,,,
040823_120_3,0,,,,,,,,,,,,,,,,,,
040823_120_4,0,,,,,,,,,,,,,,,,,,
040823_120_5,0.1192,,,,,,,,,,,,,,,,,,
040823_180_1,0,,,,,,,,,,,,,,,,,,
040823_180_2,0,,,,,,,,,,,,,,,,,,
040823_180_3,0,,,,,,,,,,,,,,,,,,
040823_180_4,0.329,,,,,,,,,,,,,,,,,,
040823_180_5,0,,,,,,,,,,,,,,,,,,
040823_96_1,0.1214,,,,,,,,,,,,,,,,,,
040823_96_2,0,,,,,,,,,,,,,,,,,,
040823_96_3,0,,,,,,,,,,,,,,,,,,
040823_96_4,0.0727,,,,,,,,,,,,,,,,,,
040823_96_5,0,,,,,,,,,,,,,,,,,,
040823_43_1,0,,,,,,,,,,,,,,,,,,
040823_43_2,0.0601,,,,,,,,,,,,,,,,,,
040823_43_3,0.0892,,,,,,,,,,,,,,,,,,
040823_43_4,0.1042,,,,,,,,,,,,,,,,,,
040823_43_5,0,,,,,,,,,,,,,,,,,,
040823_40_1,0.0777,,,,,,,,,,,,,,,,,,
040823_40_2,0,,,,,,,,,,,,,,,,,,
040823_40_3,0,,,,,,,,,,,,,,,,,,
040823_40_4,0,,,,,,,,,,,,,,,,,,
040823_40_5,0,,,,,,,,,,,,,,,,,,
040823_39_1,0,,,,,,,,,,,,,,,,,,
040823_39_2,0,,,,,,,,,,,,,,,,,,
040823_39_3,0,,,,,,,,,,,,,,,,,,
040823_39_4,0,,,,,,,,,,,,,,,,,,
040823_39_5,0.2064,,,,,,,,,,,,,,,,,,
040823_91_1,0,,,,,,,,,,,,,,,,,,
040823_91_2,0,,,,,,,,,,,,,,,,,,
040823_91_3,0,,,,,,,,,,,,,,,,,,
040823_91_4,0.0613,,,,,,,,,,,,,,,,,,
040823_91_5,0,,,,,,,,,,,,,,,,,,
